Frame Capture Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596868869.488045,1596868869.488193,0.147581,-0.100246
2,1596868869.588424,1596868869.588576,0.151873,-0.100379
3,1596868869.688819,1596868869.688990,0.171661,-0.100395
4,1596868869.789048,1596868869.789189,0.141144,-0.100229
5,1596868869.889310,1596868869.889492,0.181913,-0.100262
6,1596868869.989627,1596868869.989754,0.127792,-0.100317
7,1596868870.089852,1596868870.089988,0.135660,-0.100225
8,1596868870.190042,1596868870.190165,0.123501,-0.100190
9,1596868870.290251,1596868870.290374,0.122070,-0.100210
10,1596868870.390687,1596868870.390856,0.168562,-0.100436
11,1596868870.491193,1596868870.491396,0.202656,-0.100506
12,1596868870.591586,1596868870.591781,0.195503,-0.100393
13,1596868870.691996,1596868870.692190,0.193834,-0.100410
14,1596868870.792377,1596868870.792560,0.183582,-0.100381
15,1596868870.892617,1596868870.892752,0.135422,-0.100240
16,1596868870.992858,1596868870.992989,0.130653,-0.100241
17,1596868871.093067,1596868871.093185,0.118017,-0.100209
18,1596868871.193414,1596868871.193568,0.153065,-0.100347
19,1596868871.293624,1596868871.293752,0.128508,-0.100209
20,1596868871.393878,1596868871.394012,0.133276,-0.100255
21,1596868871.494246,1596868871.494397,0.150681,-0.100368
22,1596868871.594565,1596868871.594711,0.146151,-0.100318
23,1596868871.694906,1596868871.695068,0.161171,-0.100342
24,1596868871.795138,1596868871.795293,0.154734,-0.100232
25,1596868871.895575,1596868871.895748,0.172615,-0.100437
26,1596868871.995850,1596868871.995995,0.144720,-0.100275
27,1596868872.096159,1596868872.096319,0.160456,-0.100308
28,1596868872.196627,1596868872.196857,0.229597,-0.100469
29,1596868872.296932,1596868872.297121,0.189543,-0.100305
30,1596868872.397185,1596868872.397331,0.145912,-0.100253
31,1596868872.497584,1596868872.497749,0.165462,-0.100399
32,1596868872.597878,1596868872.597997,0.118256,-0.100295
33,1596868872.698115,1596868872.698252,0.137568,-0.100236
34,1596868872.798491,1596868872.798643,0.151634,-0.100377
35,1596868872.898727,1596868872.898864,0.136852,-0.100235
36,1596868872.998954,1596868872.999078,0.123739,-0.100227
37,1596868873.099191,1596868873.099328,0.137329,-0.100237
38,1596868873.199618,1596868873.199804,0.186682,-0.100427
39,1596868873.299868,1596868873.300017,0.148773,-0.100250
40,1596868873.400053,1596868873.400186,0.132799,-0.100185
41,1596868873.500432,1596868873.500590,0.157833,-0.100379
42,1596868873.600653,1596868873.600783,0.129700,-0.100221
43,1596868873.700911,1596868873.701047,0.136137,-0.100257
44,1596868873.801133,1596868873.801275,0.142097,-0.100223
45,1596868873.901377,1596868873.901515,0.137329,-0.100244
46,1596868874.001668,1596868874.001821,0.152826,-0.100291
47,1596868874.101909,1596868874.102045,0.135899,-0.100241
48,1596868874.202154,1596868874.202290,0.135183,-0.100245
49,1596868874.302400,1596868874.302536,0.135183,-0.100246
50,1596868874.402602,1596868874.402720,0.118256,-0.100202
51,1596868874.502899,1596868874.503063,0.164032,-0.100297
52,1596868874.603140,1596868874.603281,0.141144,-0.100241
53,1596868874.703438,1596868874.703602,0.164032,-0.100298
54,1596868874.803689,1596868874.803841,0.151634,-0.100251
55,1596868874.903939,1596868874.904100,0.160456,-0.100250
56,1596868875.004193,1596868875.004336,0.143290,-0.100253
57,1596868875.104407,1596868875.104547,0.139713,-0.100214
58,1596868875.204883,1596868875.205101,0.218153,-0.100476
59,1596868875.305092,1596868875.305217,0.124931,-0.100209
60,1596868875.405341,1596868875.405483,0.141621,-0.100249
61,1596868875.505650,1596868875.505790,0.139952,-0.100309
62,1596868875.605898,1596868875.606036,0.138044,-0.100248
63,1596868875.706171,1596868875.706314,0.143051,-0.100273
64,1596868875.806413,1596868875.806537,0.124216,-0.100242
65,1596868875.906652,1596868875.906789,0.137091,-0.100239
66,1596868876.006896,1596868876.007035,0.139475,-0.100244
67,1596868876.107347,1596868876.107531,0.184059,-0.100451
68,1596868876.207537,1596868876.207654,0.116825,-0.100190
69,1596868876.307873,1596868876.308025,0.151396,-0.100337
70,1596868876.408154,1596868876.408278,0.123262,-0.100281
71,1596868876.508539,1596868876.508697,0.158072,-0.100385
72,1596868876.608783,1596868876.608914,0.130892,-0.100244
73,1596868876.709180,1596868876.709335,0.154972,-0.100398
74,1596868876.809547,1596868876.809698,0.150681,-0.100367
75,1596868876.909808,1596868876.909938,0.129938,-0.100261
76,1596868877.010057,1596868877.010192,0.134706,-0.100249
77,1596868877.110279,1596868877.110409,0.129700,-0.100222
78,1596868877.210521,1596868877.210649,0.128269,-0.100242
79,1596868877.310889,1596868877.311067,0.177860,-0.100368
80,1596868877.411159,1596868877.411303,0.143766,-0.100270
81,1596868877.511377,1596868877.511503,0.126600,-0.100218
82,1596868877.611583,1596868877.611713,0.129938,-0.100206
83,1596868877.711808,1596868877.711946,0.138044,-0.100225
84,1596868877.812017,1596868877.812154,0.136852,-0.100209
85,1596868877.912251,1596868877.912398,0.146627,-0.100234
86,1596868878.012452,1596868878.012583,0.130415,-0.100201
87,1596868878.112681,1596868878.112825,0.144005,-0.100228
88,1596868878.212892,1596868878.213024,0.132561,-0.100211
89,1596868878.313113,1596868878.313262,0.148535,-0.100222
90,1596868878.413324,1596868878.413457,0.132799,-0.100211
91,1596868878.513550,1596868878.513684,0.134468,-0.100225
92,1596868878.613743,1596868878.613858,0.114441,-0.100193
93,1596868878.713956,1596868878.714078,0.121355,-0.100213
94,1596868878.814191,1596868878.814314,0.123501,-0.100234
95,1596868878.914427,1596868878.914565,0.137568,-0.100236
96,1596868879.014639,1596868879.014753,0.114441,-0.100212
97,1596868879.114864,1596868879.114994,0.129938,-0.100225
98,1596868879.215080,1596868879.215200,0.120640,-0.100216
99,1596868879.315353,1596868879.315486,0.133276,-0.100274
100,1596868879.415580,1596868879.415696,0.116110,-0.100227
101,1596868879.515797,1596868879.515912,0.115156,-0.100217
102,1596868879.616016,1596868879.616133,0.117302,-0.100219
