Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596868869.488156,1596868869.571254,83.098888,-0.100282
2,1596868869.588540,1596868869.671580,83.039999,-0.100384
3,1596868869.688956,1596868869.771828,82.871675,-0.100416
4,1596868869.789150,1596868869.872042,82.891941,-0.100194
5,1596868869.889461,1596868869.972329,82.867861,-0.100311
6,1596868869.989721,1596868870.072572,82.850933,-0.100260
7,1596868870.089954,1596868870.172854,82.900047,-0.100233
8,1596868870.190130,1596868870.275018,84.888220,-0.100176
9,1596868870.290344,1596868870.373187,82.843304,-0.100214
10,1596868870.390828,1596868870.473655,82.827806,-0.100484
11,1596868870.491359,1596868870.574314,82.955360,-0.100531
12,1596868870.591750,1596868870.674875,83.124638,-0.100391
13,1596868870.692158,1596868870.775018,82.859993,-0.100408
14,1596868870.792518,1596868870.875462,82.943439,-0.100360
15,1596868870.892713,1596868870.977329,84.615469,-0.100195
16,1596868870.992950,1596868871.077571,84.621191,-0.100237
17,1596868871.093153,1596868871.177746,84.593296,-0.100203
18,1596868871.193531,1596868871.278195,84.664583,-0.100378
19,1596868871.293713,1596868871.378355,84.641933,-0.100182
20,1596868871.393973,1596868871.478598,84.625006,-0.100260
21,1596868871.494357,1596868871.579059,84.702492,-0.100384
22,1596868871.594668,1596868871.679332,84.663630,-0.100311
23,1596868871.695027,1596868871.779769,84.742308,-0.100359
24,1596868871.795258,1596868871.879876,84.618092,-0.100231
25,1596868871.895710,1596868871.980371,84.660769,-0.100452
26,1596868871.995954,1596868872.080756,84.802151,-0.100244
27,1596868872.096277,1596868872.180861,84.584475,-0.100323
28,1596868872.196822,1596868872.281760,84.938288,-0.100545
29,1596868872.297080,1596868872.381752,84.672451,-0.100258
30,1596868872.397291,1596868872.481966,84.674835,-0.100211
31,1596868872.497710,1596868872.582038,84.327698,-0.100420
32,1596868872.597960,1596868872.682853,84.893703,-0.100250
33,1596868872.698218,1596868872.782784,84.566593,-0.100258
34,1596868872.798602,1596868872.883326,84.723234,-0.100384
35,1596868872.898826,1596868872.983546,84.720612,-0.100223
36,1596868872.999042,1596868873.083866,84.824085,-0.100216
37,1596868873.099295,1596868873.184075,84.779501,-0.100254
38,1596868873.199768,1596868873.286190,86.422682,-0.100472
39,1596868873.299978,1596868873.384957,84.978819,-0.100211
40,1596868873.400155,1596868873.484945,84.789753,-0.100177
41,1596868873.500555,1596868873.585294,84.739447,-0.100400
42,1596868873.600751,1596868873.685498,84.747076,-0.100197
43,1596868873.701014,1596868873.785716,84.702492,-0.100262
44,1596868873.801242,1596868873.885994,84.752083,-0.100229
45,1596868873.901481,1596868873.986140,84.658146,-0.100239
46,1596868874.001788,1596868874.086560,84.771633,-0.100307
47,1596868874.102009,1596868874.186695,84.686756,-0.100220
48,1596868874.202254,1596868874.287059,84.804773,-0.100246
49,1596868874.302500,1596868874.387189,84.689140,-0.100246
50,1596868874.402684,1596868874.487606,84.921122,-0.100184
51,1596868874.503026,1596868874.587676,84.650517,-0.100341
52,1596868874.603242,1596868874.688282,85.040569,-0.100216
53,1596868874.703564,1596868874.788307,84.742546,-0.100322
54,1596868874.803801,1596868874.888656,84.855080,-0.100237
55,1596868874.904058,1596868874.988787,84.729195,-0.100257
56,1596868875.004293,1596868875.088959,84.666491,-0.100235
57,1596868875.104512,1596868875.189594,85.081577,-0.100219
58,1596868875.205065,1596868875.289942,84.877491,-0.100552
59,1596868875.305185,1596868875.390231,85.046530,-0.100120
60,1596868875.405448,1596868875.488356,82.907438,-0.100264
61,1596868875.505757,1596868875.588722,82.964659,-0.100308
62,1596868875.606000,1596868875.688948,82.947493,-0.100244
63,1596868875.706277,1596868875.789214,82.936525,-0.100277
64,1596868875.806500,1596868875.889446,82.946062,-0.100223
65,1596868875.906750,1596868875.989744,82.994461,-0.100250
66,1596868876.006999,1596868876.089976,82.976818,-0.100249
67,1596868876.107492,1596868876.190334,82.841873,-0.100493
68,1596868876.207621,1596868876.291376,83.754539,-0.100130
69,1596868876.307986,1596868876.391486,83.500624,-0.100364
70,1596868876.408246,1596868876.490978,82.732439,-0.100260
71,1596868876.508657,1596868876.591948,83.291054,-0.100411
72,1596868876.608878,1596868876.691777,82.898140,-0.100221
73,1596868876.709295,1596868876.792129,82.834482,-0.100416
74,1596868876.809671,1596868876.892737,83.065748,-0.100376
75,1596868876.909904,1596868876.992895,82.990885,-0.100233
76,1596868877.010156,1596868877.093111,82.955122,-0.100251
77,1596868877.110373,1596868877.193277,82.903385,-0.100217
78,1596868877.210607,1596868877.293491,82.884073,-0.100233
79,1596868877.311036,1596868877.394257,83.220959,-0.100430
80,1596868877.411265,1596868877.494162,82.896233,-0.100229
81,1596868877.511467,1596868877.594249,82.781553,-0.100202
82,1596868877.611683,1596868877.694568,82.884789,-0.100215
83,1596868877.711910,1596868877.794687,82.777500,-0.100227
84,1596868877.812118,1596868877.894880,82.762003,-0.100208
85,1596868877.912364,1596868877.995150,82.785130,-0.100247
86,1596868878.012547,1596868878.095300,82.753420,-0.100182
87,1596868878.112795,1596868878.195554,82.758904,-0.100249
88,1596868878.212987,1596868878.295768,82.781792,-0.100191
89,1596868878.313225,1596868878.396027,82.801819,-0.100239
90,1596868878.413424,1596868878.496188,82.763433,-0.100199
91,1596868878.513647,1596868878.596389,82.741737,-0.100223
92,1596868878.613825,1596868878.696503,82.677841,-0.100178
