Sequencer Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
1,1596869410.115903,1596869410.116040,0.137091,-0.000262
2,1596869411.116183,1596869411.116312,0.128508,-0.000280
3,1596869412.116445,1596869412.116561,0.116110,-0.000262
4,1596869413.116729,1596869413.116884,0.154257,-0.000285
5,1596869414.117043,1596869414.117167,0.123739,-0.000313
6,1596869415.117298,1596869415.117415,0.117064,-0.000255
7,1596869416.117609,1596869416.117766,0.156879,-0.000311
8,1596869417.117923,1596869417.118054,0.131130,-0.000314
9,1596869418.118195,1596869418.118329,0.134230,-0.000272
10,1596869419.118500,1596869419.118637,0.136375,-0.000305
11,1596869420.118793,1596869420.118927,0.133276,-0.000293
12,1596869421.119064,1596869421.119199,0.135422,-0.000270
13,1596869422.119379,1596869422.119507,0.127792,-0.000315
14,1596869423.119657,1596869423.119788,0.130415,-0.000278
15,1596869424.119930,1596869424.120057,0.126839,-0.000273
16,1596869425.120200,1596869425.120319,0.118971,-0.000270
17,1596869426.120467,1596869426.120595,0.127792,-0.000267
18,1596869427.120733,1596869427.120843,0.110388,-0.000265
19,1596869428.120976,1596869428.121086,0.110149,-0.000244
20,1596869429.121226,1596869429.121353,0.126600,-0.000250
21,1596869430.121495,1596869430.121609,0.114679,-0.000269
22,1596869431.121741,1596869431.121855,0.114918,-0.000246
23,1596869432.121991,1596869432.122128,0.137091,-0.000251
24,1596869433.122267,1596869433.122398,0.130892,-0.000276
25,1596869434.122532,1596869434.122651,0.118494,-0.000265
26,1596869435.122791,1596869435.122929,0.138521,-0.000258
27,1596869436.123072,1596869436.123199,0.127077,-0.000281
28,1596869437.123330,1596869437.123453,0.123024,-0.000258
29,1596869438.123593,1596869438.123729,0.136137,-0.000263
30,1596869439.123871,1596869439.124000,0.128508,-0.000278
31,1596869440.124141,1596869440.124265,0.123978,-0.000270
32,1596869441.124418,1596869441.124544,0.125885,-0.000277
33,1596869442.124678,1596869442.124797,0.119448,-0.000260
34,1596869443.124938,1596869443.125054,0.115633,-0.000260
35,1596869444.125217,1596869444.125379,0.162363,-0.000279
36,1596869445.125525,1596869445.125653,0.127554,-0.000309
37,1596869446.125786,1596869446.125907,0.121355,-0.000261
38,1596869447.126079,1596869447.126237,0.157833,-0.000293
39,1596869448.126379,1596869448.126507,0.128269,-0.000299
40,1596869449.126638,1596869449.126764,0.125408,-0.000260
41,1596869450.126908,1596869450.127037,0.129223,-0.000270
42,1596869451.127174,1596869451.127300,0.125647,-0.000267
43,1596869452.127446,1596869452.127570,0.123978,-0.000272
44,1596869453.127713,1596869453.127838,0.124693,-0.000267
45,1596869454.127982,1596869454.128118,0.135899,-0.000269
46,1596869455.128267,1596869455.128380,0.112772,-0.000285
47,1596869456.128539,1596869456.128674,0.134706,-0.000272
48,1596869457.128821,1596869457.128945,0.123739,-0.000282
49,1596869458.129077,1596869458.129205,0.128269,-0.000256
50,1596869459.129409,1596869459.129535,0.126839,-0.000331
51,1596869460.129674,1596869460.129789,0.114918,-0.000265
52,1596869461.129933,1596869461.130060,0.127554,-0.000259
53,1596869462.130216,1596869462.130391,0.174999,-0.000284
54,1596869463.130538,1596869463.130672,0.134230,-0.000321
55,1596869464.130814,1596869464.130937,0.122547,-0.000276
56,1596869465.131074,1596869465.131204,0.130415,-0.000260
57,1596869466.131361,1596869466.131472,0.110626,-0.000287
58,1596869467.131605,1596869467.131719,0.113487,-0.000244
59,1596869468.131865,1596869468.131992,0.127554,-0.000260
60,1596869469.132130,1596869469.132256,0.125408,-0.000265
61,1596869470.132388,1596869470.132500,0.112057,-0.000258
62,1596869471.132639,1596869471.132766,0.127077,-0.000251
63,1596869472.132896,1596869472.133020,0.124216,-0.000257
64,1596869473.133157,1596869473.133268,0.111103,-0.000261
65,1596869474.133420,1596869474.133550,0.129700,-0.000263
66,1596869475.133698,1596869475.133825,0.126600,-0.000278
67,1596869476.133969,1596869476.134081,0.111341,-0.000271
68,1596869477.134221,1596869477.134342,0.121117,-0.000252
69,1596869478.134475,1596869478.134589,0.114202,-0.000253
70,1596869479.134729,1596869479.134852,0.123739,-0.000254
71,1596869480.134997,1596869480.135124,0.127077,-0.000268
72,1596869481.135264,1596869481.135385,0.120878,-0.000267
73,1596869482.135519,1596869482.135624,0.105619,-0.000254
74,1596869483.135769,1596869483.135894,0.124693,-0.000251
75,1596869484.136036,1596869484.136160,0.124454,-0.000267
76,1596869485.136306,1596869485.136429,0.123501,-0.000270
77,1596869486.136570,1596869486.136705,0.135660,-0.000264
78,1596869487.136854,1596869487.136997,0.143528,-0.000284
79,1596869488.137143,1596869488.137258,0.115633,-0.000289
80,1596869489.137403,1596869489.137527,0.123739,-0.000260
81,1596869490.137673,1596869490.137803,0.129700,-0.000271
82,1596869491.137947,1596869491.138074,0.127316,-0.000274
83,1596869492.138237,1596869492.138377,0.140429,-0.000290
84,1596869493.138521,1596869493.138656,0.134230,-0.000284
85,1596869494.138799,1596869494.138922,0.122786,-0.000278
86,1596869495.139069,1596869495.139199,0.129700,-0.000270
87,1596869496.139406,1596869496.139545,0.138283,-0.000337
88,1596869497.139683,1596869497.139806,0.123501,-0.000276
89,1596869498.139953,1596869498.140082,0.129461,-0.000270
90,1596869499.140226,1596869499.140356,0.130653,-0.000273
91,1596869500.140499,1596869500.140606,0.107527,-0.000273
92,1596869501.140756,1596869501.140878,0.121832,-0.000257
93,1596869502.141023,1596869502.141153,0.129938,-0.000267
94,1596869503.141288,1596869503.141412,0.124216,-0.000265
95,1596869504.141556,1596869504.141685,0.129700,-0.000267
96,1596869505.141827,1596869505.141950,0.123024,-0.000272
97,1596869506.142085,1596869506.142196,0.111580,-0.000257
98,1596869507.142340,1596869507.142463,0.123739,-0.000255
99,1596869508.142610,1596869508.142736,0.126362,-0.000270
100,1596869509.142882,1596869509.143005,0.123024,-0.000272
101,1596869510.143147,1596869510.143276,0.129461,-0.000265
102,1596869511.143421,1596869511.143545,0.124216,-0.000274
103,1596869512.143686,1596869512.143797,0.111103,-0.000265
104,1596869513.143937,1596869513.144071,0.133753,-0.000251
105,1596869514.144217,1596869514.144343,0.125408,-0.000280
106,1596869515.144485,1596869515.144607,0.121593,-0.000268
107,1596869516.144749,1596869516.144867,0.117779,-0.000264
108,1596869517.145007,1596869517.145114,0.107050,-0.000258
109,1596869518.145244,1596869518.145372,0.128269,-0.000237
110,1596869519.145510,1596869519.145635,0.124931,-0.000266
111,1596869520.145787,1596869520.145916,0.129700,-0.000277
112,1596869521.146060,1596869521.146190,0.129938,-0.000273
113,1596869522.146329,1596869522.146434,0.104427,-0.000269
114,1596869523.146576,1596869523.146704,0.128269,-0.000247
115,1596869524.146838,1596869524.146947,0.109196,-0.000262
116,1596869525.147086,1596869525.147202,0.116825,-0.000247
117,1596869526.147340,1596869526.147458,0.118732,-0.000254
118,1596869527.147601,1596869527.147723,0.121593,-0.000262
119,1596869528.147864,1596869528.147988,0.123978,-0.000263
120,1596869529.148128,1596869529.148260,0.131607,-0.000264
121,1596869530.148398,1596869530.148512,0.114441,-0.000269
122,1596869531.148655,1596869531.148774,0.118971,-0.000258
123,1596869532.148925,1596869532.149049,0.124216,-0.000269
124,1596869533.149199,1596869533.149324,0.125647,-0.000274
125,1596869534.149505,1596869534.149632,0.126839,-0.000306
126,1596869535.149781,1596869535.149909,0.128984,-0.000276
127,1596869536.150043,1596869536.150160,0.116348,-0.000263
128,1596869537.150298,1596869537.150421,0.123501,-0.000254
129,1596869538.150569,1596869538.150694,0.124693,-0.000271
130,1596869539.150836,1596869539.150945,0.108957,-0.000268
131,1596869540.151079,1596869540.151219,0.140190,-0.000242
132,1596869541.151370,1596869541.151496,0.126362,-0.000291
133,1596869542.151635,1596869542.151746,0.110865,-0.000265
134,1596869543.151879,1596869543.151997,0.117779,-0.000245
135,1596869544.152143,1596869544.152273,0.130177,-0.000263
136,1596869545.152406,1596869545.152517,0.111580,-0.000263
137,1596869546.152655,1596869546.152767,0.112295,-0.000249
138,1596869547.152911,1596869547.153039,0.127792,-0.000256
139,1596869548.153181,1596869548.153302,0.121117,-0.000270
140,1596869549.153446,1596869549.153566,0.119686,-0.000266
141,1596869550.153713,1596869550.153843,0.129938,-0.000267
142,1596869551.154004,1596869551.154131,0.127077,-0.000291
143,1596869552.154276,1596869552.154403,0.126600,-0.000273
144,1596869553.154554,1596869553.154683,0.128508,-0.000278
145,1596869554.154832,1596869554.154958,0.126123,-0.000278
146,1596869555.155102,1596869555.155226,0.124454,-0.000270
147,1596869556.155364,1596869556.155493,0.129223,-0.000262
148,1596869557.155635,1596869557.155758,0.123024,-0.000271
149,1596869558.155888,1596869558.155998,0.110388,-0.000253
150,1596869559.156138,1596869559.156263,0.125408,-0.000250
151,1596869560.156402,1596869560.156514,0.112057,-0.000264
152,1596869561.156644,1596869561.156767,0.123262,-0.000242
153,1596869562.156916,1596869562.157033,0.117540,-0.000272
154,1596869563.157176,1596869563.157282,0.105619,-0.000261
155,1596869564.157416,1596869564.157530,0.113487,-0.000240
156,1596869565.157667,1596869565.157790,0.123262,-0.000251
157,1596869566.157932,1596869566.158042,0.110149,-0.000265
158,1596869567.158179,1596869567.158298,0.119686,-0.000247
159,1596869568.158450,1596869568.158578,0.128269,-0.000271
160,1596869569.158737,1596869569.158863,0.125885,-0.000287
161,1596869570.159006,1596869570.159132,0.125885,-0.000269
162,1596869571.159282,1596869571.159461,0.178576,-0.000276
163,1596869572.159601,1596869572.159712,0.110865,-0.000319
164,1596869573.159864,1596869573.160014,0.150204,-0.000263
165,1596869574.160166,1596869574.160310,0.144005,-0.000302
166,1596869575.160448,1596869575.160578,0.129938,-0.000283
167,1596869576.160713,1596869576.160826,0.113726,-0.000265
168,1596869577.160981,1596869577.161133,0.151396,-0.000268
169,1596869578.161293,1596869578.161421,0.127554,-0.000312
170,1596869579.161566,1596869579.161695,0.128508,-0.000273
171,1596869580.161848,1596869580.161985,0.137091,-0.000281
172,1596869581.162128,1596869581.162251,0.122786,-0.000281
173,1596869582.162381,1596869582.162488,0.107050,-0.000253
174,1596869583.162635,1596869583.162759,0.123978,-0.000254
175,1596869584.162896,1596869584.163010,0.113726,-0.000261
176,1596869585.163149,1596869585.163273,0.123739,-0.000253
177,1596869586.163414,1596869586.163539,0.125170,-0.000265
178,1596869587.163679,1596869587.163801,0.122309,-0.000265
179,1596869588.163940,1596869588.164060,0.119686,-0.000262
180,1596869589.164194,1596869589.164324,0.129461,-0.000254
181,1596869590.164467,1596869590.164598,0.130653,-0.000273
182,1596869591.164756,1596869591.164881,0.125408,-0.000288
183,1596869592.165023,1596869592.165160,0.137091,-0.000267
184,1596869593.165303,1596869593.165431,0.127316,-0.000280
185,1596869594.165571,1596869594.165684,0.112534,-0.000268
186,1596869595.165826,1596869595.165958,0.132084,-0.000255
187,1596869596.166102,1596869596.166220,0.118017,-0.000276
188,1596869597.166356,1596869597.166469,0.112534,-0.000254
189,1596869598.166619,1596869598.166768,0.148773,-0.000263
190,1596869599.166913,1596869599.167042,0.129700,-0.000293
191,1596869600.167183,1596869600.167297,0.113487,-0.000271
192,1596869601.167478,1596869601.167638,0.159979,-0.000294
193,1596869602.167789,1596869602.167915,0.126123,-0.000311
194,1596869603.168055,1596869603.168167,0.112295,-0.000266
195,1596869604.168313,1596869604.168440,0.127077,-0.000258
196,1596869605.168579,1596869605.168693,0.114441,-0.000266
197,1596869606.168829,1596869606.168956,0.127077,-0.000250
198,1596869607.169101,1596869607.169229,0.127554,-0.000272
199,1596869608.169413,1596869608.169538,0.125170,-0.000312
200,1596869609.169683,1596869609.169808,0.124454,-0.000270
201,1596869610.169952,1596869610.170075,0.122547,-0.000269
202,1596869611.170217,1596869611.170345,0.127554,-0.000265
203,1596869612.170485,1596869612.170606,0.121117,-0.000268
204,1596869613.170744,1596869613.170871,0.127077,-0.000259
205,1596869614.171016,1596869614.171149,0.133514,-0.000272
206,1596869615.171294,1596869615.171420,0.126123,-0.000278
207,1596869616.171562,1596869616.171687,0.125408,-0.000268
208,1596869617.171837,1596869617.171961,0.123978,-0.000275
209,1596869618.172101,1596869618.172225,0.123501,-0.000264
210,1596869619.172372,1596869619.172513,0.140190,-0.000271
211,1596869620.172662,1596869620.172789,0.126839,-0.000290
212,1596869621.172933,1596869621.173061,0.127554,-0.000271
213,1596869622.173208,1596869622.173329,0.121117,-0.000274
214,1596869623.173466,1596869623.173600,0.133991,-0.000259
215,1596869624.173742,1596869624.173868,0.126839,-0.000275
216,1596869625.174007,1596869625.174125,0.117302,-0.000266
217,1596869626.174273,1596869626.174401,0.128031,-0.000266
218,1596869627.174536,1596869627.174648,0.112057,-0.000263
219,1596869628.174783,1596869628.174910,0.126600,-0.000247
220,1596869629.175058,1596869629.175199,0.140667,-0.000275
221,1596869630.175358,1596869630.175480,0.122309,-0.000300
222,1596869631.175614,1596869631.175741,0.127792,-0.000256
223,1596869632.175896,1596869632.176035,0.138998,-0.000283
224,1596869633.176189,1596869633.176316,0.126600,-0.000293
225,1596869634.176467,1596869634.176596,0.129461,-0.000278
226,1596869635.176741,1596869635.176868,0.126839,-0.000274
227,1596869636.177007,1596869636.177132,0.124216,-0.000266
228,1596869637.177270,1596869637.177377,0.107527,-0.000262
229,1596869638.177515,1596869638.177648,0.133038,-0.000245
230,1596869639.177789,1596869639.177903,0.114441,-0.000274
231,1596869640.178041,1596869640.178167,0.126123,-0.000252
232,1596869641.178306,1596869641.178422,0.116587,-0.000265
233,1596869642.178561,1596869642.178689,0.127554,-0.000256
234,1596869643.178828,1596869643.178952,0.123978,-0.000267
235,1596869644.179107,1596869644.179240,0.132322,-0.000279
236,1596869645.179413,1596869645.179533,0.119925,-0.000306
237,1596869646.179672,1596869646.179790,0.117779,-0.000259
238,1596869647.179931,1596869647.180057,0.125408,-0.000260
239,1596869648.180192,1596869648.180300,0.108004,-0.000261
240,1596869649.180438,1596869649.180562,0.124454,-0.000246
241,1596869650.180715,1596869650.180840,0.124931,-0.000277
242,1596869651.180975,1596869651.181098,0.122547,-0.000260
243,1596869652.181236,1596869652.181349,0.112772,-0.000261
244,1596869653.181490,1596869653.181617,0.127316,-0.000254
245,1596869654.181763,1596869654.181885,0.121593,-0.000273
246,1596869655.182023,1596869655.182140,0.117064,-0.000260
247,1596869656.182287,1596869656.182412,0.124454,-0.000264
248,1596869657.182546,1596869657.182655,0.109196,-0.000259
249,1596869658.182791,1596869658.182913,0.121832,-0.000246
250,1596869659.183058,1596869659.183179,0.121832,-0.000266
251,1596869660.183332,1596869660.183468,0.135899,-0.000274
252,1596869661.183605,1596869661.183738,0.133276,-0.000273
253,1596869662.183886,1596869662.184011,0.125408,-0.000281
254,1596869663.184155,1596869663.184284,0.128508,-0.000269
255,1596869664.184429,1596869664.184553,0.123978,-0.000274
256,1596869665.184700,1596869665.184816,0.116587,-0.000271
257,1596869666.184959,1596869666.185086,0.127316,-0.000259
258,1596869667.185226,1596869667.185345,0.119209,-0.000268
259,1596869668.185487,1596869668.185621,0.133991,-0.000260
260,1596869669.185756,1596869669.185869,0.113487,-0.000269
261,1596869670.186005,1596869670.186140,0.135183,-0.000249
262,1596869671.186287,1596869671.186419,0.132322,-0.000282
263,1596869672.186562,1596869672.186682,0.119209,-0.000276
264,1596869673.186817,1596869673.186932,0.114918,-0.000255
265,1596869674.187075,1596869674.187205,0.129223,-0.000258
266,1596869675.187344,1596869675.187463,0.119209,-0.000268
267,1596869676.187599,1596869676.187714,0.115156,-0.000256
268,1596869677.187862,1596869677.187990,0.128269,-0.000262
269,1596869678.188138,1596869678.188259,0.120640,-0.000277
270,1596869679.188394,1596869679.188510,0.116587,-0.000255
271,1596869680.188663,1596869680.188797,0.133514,-0.000270
272,1596869681.188933,1596869681.189055,0.122309,-0.000269
273,1596869682.189195,1596869682.189312,0.117064,-0.000263
274,1596869683.189500,1596869683.189625,0.124931,-0.000304
275,1596869684.189775,1596869684.189891,0.115156,-0.000276
276,1596869685.190036,1596869685.190173,0.137329,-0.000261
277,1596869686.190307,1596869686.190427,0.120640,-0.000271
278,1596869687.190557,1596869687.190673,0.115395,-0.000251
279,1596869688.190827,1596869688.190950,0.123024,-0.000270
280,1596869689.191093,1596869689.191216,0.122786,-0.000266
281,1596869690.191360,1596869690.191486,0.126123,-0.000267
282,1596869691.191619,1596869691.191737,0.118732,-0.000259
283,1596869692.191879,1596869692.192010,0.130653,-0.000260
284,1596869693.192155,1596869693.192276,0.120401,-0.000276
285,1596869694.192408,1596869694.192538,0.129223,-0.000253
286,1596869695.192682,1596869695.192821,0.138521,-0.000274
287,1596869696.192967,1596869696.193094,0.127554,-0.000285
288,1596869697.193254,1596869697.193378,0.123978,-0.000287
289,1596869698.193521,1596869698.193654,0.133038,-0.000267
290,1596869699.193838,1596869699.193965,0.127077,-0.000317
291,1596869700.194110,1596869700.194235,0.125170,-0.000272
292,1596869701.194410,1596869701.194549,0.138998,-0.000300
293,1596869702.194695,1596869702.194820,0.125170,-0.000285
294,1596869703.194961,1596869703.195089,0.128031,-0.000266
295,1596869704.195292,1596869704.195452,0.160694,-0.000331
296,1596869705.195626,1596869705.195748,0.121832,-0.000335
297,1596869706.195882,1596869706.196005,0.122309,-0.000256
298,1596869707.196177,1596869707.196317,0.139952,-0.000295
299,1596869708.196461,1596869708.196570,0.108480,-0.000284
300,1596869709.196717,1596869709.196844,0.126839,-0.000256
301,1596869710.196977,1596869710.197090,0.113010,-0.000260
302,1596869711.197235,1596869711.197390,0.154972,-0.000258
303,1596869712.197531,1596869712.197649,0.118494,-0.000296
304,1596869713.197789,1596869713.197902,0.112772,-0.000258
305,1596869714.198032,1596869714.198156,0.123978,-0.000242
306,1596869715.198305,1596869715.198427,0.121832,-0.000273
307,1596869716.198569,1596869716.198690,0.121593,-0.000264
308,1596869717.198841,1596869717.198962,0.121593,-0.000272
309,1596869718.199097,1596869718.199221,0.124216,-0.000256
310,1596869719.199399,1596869719.199513,0.114441,-0.000302
311,1596869720.199657,1596869720.199791,0.133991,-0.000258
312,1596869721.199931,1596869721.200052,0.120163,-0.000274
313,1596869722.200186,1596869722.200296,0.109673,-0.000255
314,1596869723.200438,1596869723.200569,0.131369,-0.000251
315,1596869724.200709,1596869724.200834,0.124454,-0.000272
316,1596869725.200973,1596869725.201090,0.117064,-0.000264
317,1596869726.201236,1596869726.201360,0.124454,-0.000262
318,1596869727.201499,1596869727.201617,0.118256,-0.000264
319,1596869728.201752,1596869728.201864,0.112295,-0.000253
320,1596869729.202003,1596869729.202129,0.125170,-0.000252
321,1596869730.202275,1596869730.202397,0.122070,-0.000271
322,1596869731.202533,1596869731.202637,0.104666,-0.000258
323,1596869732.202777,1596869732.202905,0.128508,-0.000244
324,1596869733.203048,1596869733.203171,0.123024,-0.000271
325,1596869734.203299,1596869734.203413,0.114441,-0.000251
326,1596869735.203557,1596869735.203682,0.124931,-0.000258
327,1596869736.203828,1596869736.203953,0.125170,-0.000271
328,1596869737.204093,1596869737.204210,0.116348,-0.000265
329,1596869738.204343,1596869738.204477,0.134230,-0.000250
330,1596869739.204699,1596869739.204849,0.149488,-0.000356
331,1596869740.205000,1596869740.205124,0.123739,-0.000301
332,1596869741.205273,1596869741.205399,0.125885,-0.000273
333,1596869742.205546,1596869742.205669,0.122547,-0.000273
334,1596869743.205811,1596869743.205936,0.125408,-0.000264
335,1596869744.206074,1596869744.206197,0.123262,-0.000263
336,1596869745.206341,1596869745.206445,0.103951,-0.000267
337,1596869746.206580,1596869746.206692,0.112772,-0.000239
338,1596869747.206836,1596869747.206951,0.115156,-0.000256
339,1596869748.207086,1596869748.207197,0.111580,-0.000250
340,1596869749.207337,1596869749.207458,0.120878,-0.000252
341,1596869750.207615,1596869750.207744,0.128269,-0.000278
342,1596869751.207889,1596869751.208012,0.123262,-0.000274
343,1596869752.208153,1596869752.208275,0.122070,-0.000263
344,1596869753.208412,1596869753.208537,0.124931,-0.000260
345,1596869754.208675,1596869754.208799,0.123739,-0.000263
346,1596869755.208941,1596869755.209064,0.122309,-0.000266
347,1596869756.209214,1596869756.209384,0.169516,-0.000273
